PASSENGER_CAPACITY,BASE_COST/FLIGHT,FUEL_COST/MILE,TOTAL_FLIGHTS,COST/PASSANGER,GATE_COST/FLIGHT,FEE_COST/FLIGHT,TOTAL_COST/FLIGHT
524.0,9798.27,37.8,317.0,185.1731072555205,2982.7276656151457,81.71176656151421,97030.70820189275
524.0,10256.18,36.7,686.0,181.72075075668215,3518.857871720118,102.98593294460633,95221.67339650146
524.0,10077.32,39.2,342.0,177.49082847863937,3130.812105263159,83.68728070175439,93005.19412280704
524.0,9656.86,39.0,719.0,148.4487522693732,3800.110695410248,250.8908484005562,77787.14618915155
524.0,10131.57,39.1,280.0,147.22390791984736,3506.4764642857376,447.1423571428571,77145.32775000003
524.0,10504.75,39.1,803.0,146.54470031275838,3547.2308592776712,104.44914072229143,76789.42296388539
524.0,9597.06,39.0,881.0,145.29956089540852,3565.49216799089,80.30520998864921,76136.96990919407
524.0,10077.59,37.6,63.0,139.63042711741184,3688.709523809519,336.0088888888889,73166.34380952381
524.0,9638.23,36.3,39.0,133.48197837150127,3190.745128205126,89.32692307692308,69944.55666666667
524.0,10254.36,35.6,741.0,129.38756175891865,3659.7341700404445,255.84481781376525,67799.08236167337
524.0,10488.94,39.3,43.0,128.6004411503639,3597.562558139532,291.2360465116279,67386.6311627907
524.0,10243.06,37.0,144.0,128.33874469889736,3631.638263888881,97.08618055555556,67249.50222222222
524.0,9773.31,38.8,44.0,125.4025754684247,3432.407499999997,520.4056818181817,65710.94954545454
524.0,9318.5,35.7,46.0,116.9880455526054,2882.643260869563,203.25782608695653,61301.73586956522
524.0,10057.8,36.0,40.0,109.4606641221374,3259.9239999999977,43.463999999999984,57357.388
524.0,10530.79,36.5,123.0,109.2848454663936,3412.6288617886125,570.0488617886178,57265.25902439024
524.0,9972.24,38.5,1112.0,109.03053544950306,3674.9426169065077,-5.281519784172662,57132.000575539605
524.0,10192.66,39.2,618.0,106.1586248116307,3527.6885760517644,170.65800970873786,55627.11940129448
524.0,9724.98,36.3,1100.0,105.12384444829983,3722.147636363667,35.04185454545455,55084.894490909115
524.0,9259.19,36.6,1052.0,104.3168683968015,3659.1427851711283,32.66469581749051,54662.039039923984
524.0,9730.07,37.3,1118.0,101.98758509265464,3789.3727459749966,4.287137745974951,53441.494588551024
524.0,9488.06,38.5,370.0,98.89781514338765,3273.595459459449,30.4312972972973,51822.45513513512
524.0,10244.62,36.5,1106.0,97.9324350178762,3704.703571428603,10.975108499095846,51316.595949367125
524.0,9760.27,38.6,145.0,97.80232416425372,3561.728689655167,130.15813793103447,51248.417862068956
524.0,10069.42,37.4,517.0,96.5660125208558,3257.5733268858817,217.7151063829788,50600.59056092843
524.0,10423.56,36.3,140.0,96.43963181570336,3411.3134999999943,133.48142857142858,50534.36707142856
524.0,9323.08,39.4,1019.0,96.14640159488796,3544.811530912658,22.245789990186445,50380.7144357213
524.0,9256.28,35.9,339.0,96.09567998603892,3710.126548672595,165.79412979351034,50354.13631268439
524.0,9592.47,39.2,949.0,95.65698742750506,3569.549852476293,63.387639620653324,50124.26141201265
524.0,9854.04,36.6,1168.0,93.6247119431664,3587.671695205493,39.796541095890426,49059.349058219195
524.0,9500.88,38.6,1001.0,93.352408907886,3548.427922077922,68.57000999000996,48916.66226773227
524.0,9308.62,38.9,996.0,92.9845718752874,3472.6923192771055,3.2588855421686693,48723.9156626506
524.0,9397.3,38.7,719.0,92.3705250347705,3095.611974965219,42.99084840055631,48402.15511821974
524.0,9682.68,37.9,1012.0,91.99120672163052,3544.7003557312287,32.56548418972331,48203.392322134394
524.0,10024.57,38.8,1003.0,91.93089451112311,3543.025054835488,38.55030907278165,48171.78872382852
524.0,9201.92,38.9,1024.0,91.84816201246424,3543.307705078131,43.14764648437499,48128.43689453125
524.0,10319.5,36.7,133.0,91.61321141594443,3837.9862406015004,479.71172932330836,48005.32278195489
524.0,9476.73,37.8,968.0,91.590877152861,3504.4577479338786,60.68977272727275,47993.61962809917
524.0,9355.67,38.4,907.0,91.4688315013845,3581.2038699007753,150.19084895259095,47929.66770672548
524.0,10174.76,38.8,563.0,91.42370100199312,3048.9930373001707,37.1683836589698,47906.0193250444
524.0,10345.54,38.6,962.0,91.415451587818,3712.153513513511,21.071808731808737,47901.696632016625
524.0,9361.7,38.0,954.0,91.32118300606524,3570.4438469601614,37.667368972746324,47852.2998951782
524.0,9806.58,38.1,1036.0,91.2486493486398,3519.6701158301207,41.214710424710425,47814.29225868726
524.0,10492.23,37.3,924.0,91.09562745778392,3571.8381060606007,84.08561688311693,47734.108787878795
524.0,10096.62,37.3,1003.0,90.59520265539258,3543.2741176470568,79.09652043868397,47471.88619142572
524.0,9776.59,37.8,242.0,90.44512018169202,3252.100371900834,86.64838842975206,47393.24297520662
524.0,10165.76,37.4,702.0,90.37281303690652,3062.2394159544065,4.641965811965817,47355.35403133902
524.0,9301.13,38.1,966.0,90.30407409163466,3505.91479296066,45.354813664596236,47319.33482401656
524.0,9853.49,39.2,238.0,90.21287470331644,3566.677436974792,124.68067226890756,47271.54634453781
524.0,9478.34,36.1,1023.0,90.13274880048952,3572.2913391984403,25.17870967741935,47229.56037145651
524.0,9990.11,38.1,1062.0,89.95442279078796,3527.135969868182,17.236092278719408,47136.11754237289
524.0,10326.14,38.4,977.0,89.85572571823701,3534.439283520987,7.701832139201637,47084.400276356195
524.0,10017.73,35.8,959.0,89.612788886324,3480.875547445251,53.81227320125129,46957.10137643378
524.0,9326.86,37.6,1043.0,89.45756638220637,3569.425023969325,55.813202301054645,46875.764784276136
524.0,10427.15,39.0,925.0,89.41186325562202,3580.0825513513532,91.01811891891892,46851.81634594595
524.0,9375.51,35.8,582.0,88.57544489913693,3090.5077835051416,30.552835051546367,46413.53312714775
524.0,10384.99,38.3,1048.0,88.29190641206806,3528.034580152673,2.164456106870218,46264.958959923664
524.0,9395.65,38.2,1048.0,88.19530170153256,3556.5505916030565,46.67166030534353,46214.33809160306
524.0,10191.09,36.9,604.0,88.15902826576006,3115.4466059602582,10.986192052980135,46195.33081125827
524.0,10293.29,36.2,44.0,88.03563974670368,3567.4722727272715,790.048409090909,46130.675227272724
524.0,9600.8,36.4,874.0,87.68503148636609,3438.9213958810064,72.63189931350117,45946.956498855834
524.0,9362.97,36.5,148.0,87.58607579430576,3540.1715540540486,159.45243243243237,45895.10371621621
524.0,9530.02,36.6,1047.0,87.52444443229292,3543.5561031518673,7.415530085959883,45862.808882521495
524.0,10074.91,38.6,256.0,87.19066212428434,2952.405000000002,32.74414062499999,45687.906953125
524.0,10348.89,39.2,238.0,87.12973803643597,3754.708151260505,-26.41953781512604,45655.982731092445
524.0,9759.54,36.6,703.0,86.98693429468037,3098.1655192034073,9.703271692745384,45581.15357041252
524.0,10026.38,35.8,547.0,86.82803274627737,3371.355228519181,16.898464351005483,45497.889159049344
524.0,9647.69,36.4,961.0,86.80624299989672,3613.899334027055,63.02444328824142,45486.47133194589
524.0,10376.53,35.5,951.0,86.79576693075188,3513.3862670872736,24.51358569926393,45480.981871713986
524.0,10414.74,36.4,985.0,86.62805610880768,3530.9799593908597,25.513522842639606,45393.10140101523
524.0,9697.47,36.7,1010.0,86.41635552868264,3570.2180792079225,52.546772277227724,45282.170297029705
524.0,9267.17,37.1,125.0,86.12505572519085,3910.4743999999946,-8.542800000000012,45129.529200000004
524.0,10408.17,36.5,1013.0,85.89225435747498,3669.7731293188585,15.69658440276406,45007.54128331689
524.0,9889.81,35.7,1002.0,85.8799984572839,3560.9415069860315,0.10223552894211808,45001.119191616766
524.0,9555.94,35.5,606.0,85.85900272088276,3139.0021617161565,18.524504950495057,44990.11742574257
524.0,10537.88,36.0,368.0,85.76374159890474,2647.210842391304,19.59845108695652,44940.200597826086
524.0,9690.08,38.9,228.0,85.69781212334271,3166.192982456145,178.7346929824561,44905.653552631586
524.0,9369.39,35.9,693.0,85.58751520108389,3155.2836363636266,77.53262626262625,44847.85796536796
524.0,9411.11,37.5,644.0,85.18849399625431,3192.7109316770043,52.69812111801241,44638.770854037255
524.0,9478.55,36.6,678.0,85.07620296561507,3181.3292772861296,49.50815634218291,44579.9303539823
524.0,10405.92,36.5,632.0,84.33677375229487,3180.7443829113763,37.41414556962023,44192.469446202515
524.0,10402.32,36.1,681.0,84.03313817802736,3127.614140969155,44.84409691629952,44033.36440528634
