MONTH,DAY,DAY_OF_WEEK,AIRLINE,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,CANCELLED,CANCELLATION_REASON
1,1,4,AS,SEA,130,1,A
1,1,4,AA,DFW,200,1,B
1,1,4,OO,IAH,515,1,B
1,1,4,MQ,DFW,530,1,B
1,1,4,OO,SFO,530,1,A
1,1,4,MQ,DFW,545,1,B
1,1,4,OO,LAX,545,1,A
1,1,4,MQ,DFW,545,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,AA,DFW,600,1,B
1,1,4,AA,DFW,600,1,B
1,1,4,AA,DFW,600,1,B
1,1,4,AA,DFW,600,1,B
1,1,4,AA,DFW,600,1,B
1,1,4,F9,DEN,600,1,A
1,1,4,F9,MIA,600,1,A
1,1,4,MQ,DFW,600,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,MQ,BTR,600,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,OO,ORD,600,1,B
1,1,4,OO,SFO,600,1,A
1,1,4,MQ,DFW,600,1,B
1,1,4,AA,DFW,600,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,MQ,DFW,600,1,B
1,1,4,AA,DFW,615,1,B
1,1,4,OO,DEN,615,1,B
1,1,4,AA,DFW,615,1,B
1,1,4,AA,DCA,615,1,B
1,1,4,MQ,DFW,615,1,B
1,1,4,MQ,DFW,615,1,B
1,1,4,AA,DFW,615,1,B
1,1,4,MQ,DFW,615,1,B
1,1,4,MQ,DFW,615,1,B
1,1,4,AA,AUS,630,1,A
1,1,4,AA,DFW,630,1,B
1,1,4,MQ,DFW,630,1,B
1,1,4,MQ,DFW,630,1,B
1,1,4,MQ,DFW,630,1,B
1,1,4,MQ,DFW,630,1,B
1,1,4,AA,DFW,630,1,B
1,1,4,MQ,DFW,630,1,B
1,1,4,AA,DFW,645,1,B
1,1,4,MQ,DFW,645,1,B
1,1,4,MQ,DFW,645,1,B
1,1,4,MQ,DFW,645,1,B
1,1,4,AA,STL,645,1,B
1,1,4,AA,DFW,645,1,B
1,1,4,EV,IAH,645,1,B
1,1,4,MQ,DFW,645,1,B
1,1,4,MQ,DFW,645,1,B
1,1,4,MQ,DFW,645,1,B
1,1,4,MQ,DFW,645,1,B
1,1,4,MQ,DFW,645,1,B
1,1,4,AA,DFW,700,1,A
1,1,4,AA,LAX,700,1,B
1,1,4,MQ,ORD,700,1,A
1,1,4,OO,JMS,700,1,B
1,1,4,AA,DFW,700,1,B
1,1,4,AA,MIA,700,1,B
1,1,4,MQ,DFW,700,1,B
1,1,4,MQ,DFW,700,1,B
1,1,4,MQ,DFW,700,1,B
1,1,4,MQ,DFW,700,1,B
1,1,4,MQ,MAF,700,1,B
1,1,4,OO,DEN,700,1,C
1,1,4,AA,TPA,700,1,A
1,1,4,WN,STL,700,1,A
1,1,4,MQ,DFW,700,1,B
1,1,4,EV,IAH,715,1,B
1,1,4,MQ,HOU,715,1,B
1,1,4,MQ,DFW,715,1,B
1,1,4,MQ,CVG,715,1,B
1,1,4,EV,CRP,730,1,A
1,1,4,MQ,DFW,730,1,B
1,1,4,MQ,DFW,730,1,B
1,1,4,MQ,DFW,730,1,B
1,1,4,MQ,BTR,730,1,B
1,1,4,MQ,SHV,730,1,B
1,1,4,MQ,TYS,730,1,B
1,1,4,NK,ATL,730,1,B
1,1,4,MQ,LIT,730,1,B
1,1,4,AA,DFW,745,1,B
1,1,4,AA,ORD,745,1,B
1,1,4,MQ,TUL,745,1,B
1,1,4,MQ,GRK,745,1,B
1,1,4,MQ,PNS,745,1,B
1,1,4,MQ,DFW,745,1,B
1,1,4,AA,DFW,745,1,B
1,1,4,EV,OKC,745,1,A
1,1,4,AA,SNA,800,1,B
1,1,4,MQ,XNA,800,1,B
1,1,4,MQ,MKE,800,1,B
1,1,4,MQ,GSO,800,1,B
1,1,4,MQ,VPS,800,1,B
1,1,4,MQ,LAW,800,1,B
1,1,4,MQ,DFW,800,1,B
1,1,4,OO,PHX,800,1,B
1,1,4,WN,BWI,800,1,A
1,1,4,AA,DFW,800,1,B
1,1,4,AA,SAT,800,1,B
1,1,4,AA,PHX,800,1,B
1,1,4,OO,DEN,815,1,C
1,1,4,MQ,CAE,815,1,B
1,1,4,MQ,GPT,815,1,B
1,1,4,MQ,DFW,815,1,B
1,1,4,NK,TPA,815,1,B
1,1,4,AA,DFW,815,1,B
1,1,4,MQ,DFW,815,1,B
1,1,4,EV,MLI,830,1,A
1,1,4,MQ,SAV,830,1,B
1,1,4,MQ,AMA,830,1,B
1,1,4,AA,CMH,830,1,B
1,1,4,MQ,JAN,830,1,B
1,1,4,MQ,MSN,830,1,B
1,1,4,MQ,LFT,830,1,B
1,1,4,MQ,GRR,830,1,B
1,1,4,EV,CLL,845,1,A
1,1,4,MQ,LEX,845,1,B
1,1,4,MQ,BHM,845,1,B
1,1,4,UA,HNL,845,1,A
1,1,4,MQ,ORD,845,1,A
1,1,4,MQ,DFW,845,1,B
1,1,4,AA,MIA,845,1,A
1,1,4,EV,MAF,845,1,C
1,1,4,AA,DFW,845,1,B
1,1,4,EV,SPS,900,1,A
1,1,4,MQ,FWA,900,1,B
1,1,4,MQ,DFW,900,1,B
1,1,4,MQ,SGF,900,1,B
1,1,4,MQ,CID,900,1,B
1,1,4,AA,DFW,900,1,B
1,1,4,AA,SAN,900,1,B
1,1,4,EV,CRP,900,1,A
