,DATE,AIR_SYSTEM_DELAY,AIR_SYSTEM_DELAY_COST,INBOUND FLIGHTS,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,OUTBOUND FLIGHTS,GATE_REVENUE,SECURITY_DELAY_COST,AIRLINE_DELAY_REVENUE,PROFIT
0,1/1/2015,339.0,9593.7,702.0,0.0,1285.0,543.0,0.0,738.0,3759512.2199999997,0.0,54548.25,3804466.7699999996
1,1/2/2015,2620.0,74146.0,1041.0,0.0,3727.0,2808.0,693.0,1038.0,5287769.22,0.0,158211.15000000002,5371834.37
2,1/3/2015,5717.0,161791.1,934.0,53.0,6633.0,6708.0,995.0,938.0,4778350.22,2624.56,281570.85000000003,4895505.41
3,1/4/2015,4443.0,125736.90000000001,1022.0,0.0,9115.0,9567.0,615.0,1016.0,5175697.04,0.0,386931.75,5436891.89
4,1/5/2015,1492.0,42223.6,998.0,5.0,4752.0,3164.0,213.0,1001.0,5099284.1899999995,247.60000000000002,201722.40000000002,5258535.390000001
5,1/6/2015,3343.0,94606.90000000001,949.0,53.0,3625.0,3933.0,537.0,951.0,4844574.6899999995,2624.56,153881.25,4901224.4799999995
6,1/7/2015,1257.0,35573.1,982.0,0.0,2852.0,2017.0,48.0,987.0,5027965.529999999,0.0,121067.40000000001,5113459.83
7,1/8/2015,963.0,27252.9,1003.0,0.0,4795.0,2140.0,869.0,999.0,5089095.81,0.0,203547.75000000003,5265390.659999999
8,1/9/2015,1254.0,35488.200000000004,1003.0,0.0,4005.0,2595.0,110.0,1010.0,5145131.899999999,0.0,170012.25,5279655.949999999
9,1/10/2015,319.0,9027.7,750.0,0.0,2410.0,343.0,0.0,742.0,3779888.9799999995,0.0,102304.5,3873165.7799999993
10,1/11/2015,1428.0,40412.4,940.0,0.0,3163.0,1407.0,78.0,945.0,4814009.55,0.0,134269.35,4907866.499999999
11,1/12/2015,20592.0,582753.6,993.0,0.0,9598.0,22529.0,5649.0,1004.0,5114566.76,0.0,407435.10000000003,4939248.26
12,1/13/2015,2062.0,58354.600000000006,948.0,0.0,2261.0,2261.0,65.0,957.0,4875139.83,0.0,95979.45000000001,4912764.680000001
13,1/14/2015,1542.0,43638.6,989.0,0.0,2830.0,1225.0,165.0,996.0,5073813.239999999,0.0,120133.5,5150308.14
14,1/15/2015,1713.0,48477.9,1024.0,0.0,3199.0,2095.0,34.0,1028.0,5236827.319999999,0.0,135797.55000000002,5324146.969999999
15,1/16/2015,641.0,18140.3,1031.0,0.0,2391.0,473.0,80.0,1033.0,5262298.27,0.0,101497.95000000001,5345655.92
16,1/17/2015,137.0,3877.1000000000004,713.0,0.0,463.0,264.0,0.0,705.0,3591403.9499999997,0.0,19654.350000000002,3607181.1999999997
17,1/18/2015,224.0,6339.2,817.0,0.0,982.0,423.0,48.0,821.0,4182329.9899999998,0.0,41685.9,4217676.6899999995
18,1/19/2015,241.0,6820.3,1033.0,0.0,2005.0,980.0,0.0,1035.0,5272486.649999999,0.0,85112.25,5350778.6
19,1/20/2015,234.0,6622.200000000001,964.0,0.0,869.0,118.0,75.0,960.0,4890422.399999999,0.0,36889.05,4920689.249999999
20,1/21/2015,727.0,20574.100000000002,995.0,0.0,1782.0,544.0,0.0,999.0,5089095.81,0.0,75645.90000000001,5144167.61
